pos,name,points,exact,tendency,missed,games
1,Kolibinho,26,9,31,0,62
2,Schlandmann69,17,6,37,0,62
3,NuttyDrop69,15,8,29,0,62
4,Reingeschissen6,14,6,33,0,62
5,Weyleyk,6,7,31,0,62
6,Nilstradamos,5,6,35,0,62
7,Otterngezücht,2,7,29,0,62
8,FCDinamo,-4,6,31,0,62
9,Pille,-5,6,31,0,62
10,Sommerreifen,-9,6,30,0,62
11,Rausgepischt7,-12,8,26,1,62
12,Cornertaker,-15,4,34,0,62
13,olodeque,-24,4,31,0,62
14,Außenseiter,-25,6,25,2,62
15,Tippothalamus,-45,6,19,1,62
16,Tippfuchs,-67,2,27,9,62
17,Peschi,-73,4,22,11,62
